"YEAR","MONTH","JURISDICTION","LOCATION","AGE_GROUP","BEST_DETECTION_METHOD","DETECTION_METHOD","AMPHETAMINE","CANNABIS","COCAINE","ECSTASY","METHYLAMPHETAMINE","OTHER","UNKNOWN","NO_DRUGS_DETECTED","COUNT","FINES","ARRESTS","CHARGES"
2023,"01","NSW","Major Cities of Australia","17-25","Yes","Stage 3","0","1","0","1","0","0","0","Not applicable",1,1,0,0
2023,"01","NSW","Major Cities of Australia","17-25","Yes","Stage 3","0","1","1","0","0","0","0","Not applicable",7,3,0,4
2023,"01","NSW","Major Cities of Australia","17-25","Yes","Stage 3","0","1","1","1","0","0","0","Not applicable",2,0,0,2
2023,"01","NSW","Major Cities of Australia","17-25","Yes","Stage 3","1","0","0","0","0","0","0","Not applicable",10,0,0,10
2023,"01","NSW","Major Cities of Australia","17-25","Yes","Stage 3","1","0","1","0","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Major Cities of Australia","17-25","Yes","Stage 3","1","1","0","0","0","0","0","Not applicable",4,1,0,3
2023,"01","NSW","Major Cities of Australia","26-39","No","Stage 1","0","0","1","0","0","0","0","Not applicable",7,5,0,2
2023,"01","NSW","Major Cities of Australia","26-39","No","Stage 1","0","1","0","0","0","0","0","Not applicable",66,18,0,48
2023,"01","NSW","Major Cities of Australia","26-39","No","Stage 1","0","1","1","0","0","0","0","Not applicable",4,1,0,3
2023,"01","NSW","Major Cities of Australia","26-39","No","Stage 1","1","0","0","0","0","0","0","Not applicable",66,9,0,57
2023,"01","NSW","Major Cities of Australia","26-39","No","Stage 1","1","0","1","0","0","0","0","Not applicable",5,1,0,4
2023,"01","NSW","Major Cities of Australia","26-39","No","Stage 1","1","1","0","0","0","0","0","Not applicable",7,2,0,5
2023,"01","NSW","Major Cities of Australia","26-39","No","Stage 1","1","1","1","0","0","0","0","Not applicable",3,0,0,3
2023,"01","NSW","Major Cities of Australia","26-39","No","Stage 2","0","0","0","0","0","0","0","Not applicable",17,3,0,14
2023,"01","NSW","Major Cities of Australia","26-39","No","Stage 2","0","0","0","0","0","0","1","Not applicable",1,0,0,1
2023,"01","NSW","Major Cities of Australia","26-39","No","Stage 2","0","0","1","0","0","0","0","Not applicable",10,4,0,6
2023,"01","NSW","Major Cities of Australia","26-39","No","Stage 2","0","1","0","0","0","0","0","Not applicable",54,17,0,37
2023,"01","NSW","Major Cities of Australia","26-39","No","Stage 2","0","1","1","0","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Major Cities of Australia","26-39","No","Stage 2","1","0","0","0","0","0","0","Not applicable",61,10,0,51
2023,"01","NSW","Major Cities of Australia","26-39","No","Stage 2","1","0","1","0","0","0","0","Not applicable",4,1,0,3
2023,"01","NSW","Major Cities of Australia","26-39","No","Stage 2","1","1","0","0","0","0","0","Not applicable",10,1,0,9
2023,"01","NSW","Major Cities of Australia","26-39","Yes","Stage 3","0","0","0","0","0","0","1","Not applicable",4,0,0,4
2023,"01","NSW","Major Cities of Australia","26-39","Yes","Stage 3","0","0","1","0","0","0","0","Not applicable",6,3,0,3
2023,"01","NSW","Major Cities of Australia","26-39","Yes","Stage 3","0","0","1","1","0","0","0","Not applicable",2,1,0,1
2023,"01","NSW","Major Cities of Australia","26-39","Yes","Stage 3","0","1","0","0","0","0","0","Not applicable",63,18,0,45
2023,"01","NSW","Major Cities of Australia","26-39","Yes","Stage 3","0","1","1","0","0","0","0","Not applicable",3,2,0,1
2023,"01","NSW","Major Cities of Australia","26-39","Yes","Stage 3","1","0","0","0","0","0","0","Not applicable",58,9,0,49
2023,"01","NSW","Major Cities of Australia","26-39","Yes","Stage 3","1","0","1","0","0","0","0","Not applicable",3,1,0,2
2023,"01","NSW","Major Cities of Australia","26-39","Yes","Stage 3","1","0","1","1","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Major Cities of Australia","26-39","Yes","Stage 3","1","1","0","0","0","0","0","Not applicable",16,2,0,14
2023,"01","NSW","Major Cities of Australia","26-39","Yes","Stage 3","1","1","1","0","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Major Cities of Australia","26-39","Yes","Stage 3","1","1","1","1","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Major Cities of Australia","40-64","No","Stage 1","0","0","1","0","0","0","0","Not applicable",7,3,0,4
2023,"01","NSW","Major Cities of Australia","40-64","No","Stage 1","0","1","0","0","0","0","0","Not applicable",29,10,0,19
2023,"01","NSW","Major Cities of Australia","40-64","No","Stage 1","0","1","1","0","0","0","0","Not applicable",3,0,0,3
2023,"01","NSW","Major Cities of Australia","40-64","No","Stage 1","1","0","0","0","0","0","0","Not applicable",78,14,0,64
2023,"01","NSW","Major Cities of Australia","40-64","No","Stage 1","1","1","0","0","0","0","0","Not applicable",12,6,0,6
2023,"01","NSW","Major Cities of Australia","40-64","No","Stage 1","1","1","1","0","0","0","0","Not applicable",1,1,0,0
2023,"01","NSW","Major Cities of Australia","40-64","No","Stage 2","0","0","0","0","0","0","0","Not applicable",14,5,0,9
2023,"01","NSW","Major Cities of Australia","40-64","No","Stage 2","0","0","0","0","0","0","1","Not applicable",1,0,0,1
2023,"01","NSW","Major Cities of Australia","40-64","No","Stage 2","0","0","1","0","0","0","0","Not applicable",6,3,0,3
2023,"01","NSW","Major Cities of Australia","40-64","No","Stage 2","0","1","0","0","0","0","0","Not applicable",23,8,0,15
2023,"01","NSW","Major Cities of Australia","40-64","No","Stage 2","0","1","1","0","0","0","0","Not applicable",2,0,0,2
2023,"01","NSW","Major Cities of Australia","40-64","No","Stage 2","1","0","0","0","0","0","0","Not applicable",61,10,0,51
2023,"01","NSW","Major Cities of Australia","40-64","No","Stage 2","1","0","1","0","0","0","0","Not applicable",3,0,0,3
2023,"01","NSW","Major Cities of Australia","40-64","No","Stage 2","1","1","0","0","0","0","0","Not applicable",20,8,0,12
2023,"01","NSW","Major Cities of Australia","40-64","Yes","Stage 3","0","0","0","0","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Major Cities of Australia","40-64","Yes","Stage 3","0","0","0","0","0","0","1","Not applicable",3,1,0,2
2023,"01","NSW","Major Cities of Australia","40-64","Yes","Stage 3","0","0","1","0","0","0","0","Not applicable",5,3,0,2
2023,"01","NSW","Major Cities of Australia","40-64","Yes","Stage 3","0","1","0","0","0","0","0","Not applicable",26,8,0,18
2023,"01","NSW","Major Cities of Australia","40-64","Yes","Stage 3","0","1","0","1","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Major Cities of Australia","40-64","Yes","Stage 3","0","1","1","0","0","0","0","Not applicable",3,1,0,2
2023,"01","NSW","Major Cities of Australia","40-64","Yes","Stage 3","1","0","0","0","0","0","0","Not applicable",60,10,0,50
2023,"01","NSW","Major Cities of Australia","40-64","Yes","Stage 3","1","0","0","1","0","0","0","Not applicable",1,1,0,0
2023,"01","NSW","Major Cities of Australia","40-64","Yes","Stage 3","1","0","1","0","0","0","0","Not applicable",2,0,0,2
2023,"01","NSW","Major Cities of Australia","40-64","Yes","Stage 3","1","1","0","0","0","0","0","Not applicable",27,10,0,17
2023,"01","NSW","Major Cities of Australia","40-64","Yes","Stage 3","1","1","1","0","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Major Cities of Australia","65+","No","Stage 1","0","1","0","0","0","0","0","Not applicable",1,1,0,0
2023,"01","NSW","Major Cities of Australia","65+","No","Stage 1","1","0","0","0","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Major Cities of Australia","65+","No","Stage 2","0","0","0","0","0","0","0","Not applicable",1,1,0,0
2023,"01","NSW","Major Cities of Australia","65+","No","Stage 2","1","0","0","0","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Major Cities of Australia","65+","Yes","Stage 3","0","1","0","0","0","0","0","Not applicable",1,1,0,0
2023,"01","NSW","Major Cities of Australia","65+","Yes","Stage 3","1","0","0","0","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Outer Regional Australia","17-25","No","Stage 1","0","1","0","0","0","0","0","Not applicable",4,3,0,1
2023,"01","NSW","Outer Regional Australia","17-25","No","Stage 1","1","0","0","0","0","0","0","Not applicable",2,0,0,2
2023,"01","NSW","Outer Regional Australia","17-25","No","Stage 1","1","0","1","0","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Outer Regional Australia","17-25","No","Stage 1","1","1","0","0","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Outer Regional Australia","17-25","No","Stage 2","0","0","0","0","0","0","0","Not applicable",2,1,0,1
2023,"01","NSW","Outer Regional Australia","17-25","No","Stage 2","0","1","0","0","0","0","0","Not applicable",2,2,0,0
2023,"01","NSW","Outer Regional Australia","17-25","No","Stage 2","1","0","0","0","0","0","0","Not applicable",3,0,0,3
2023,"01","NSW","Outer Regional Australia","17-25","No","Stage 2","1","0","1","0","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Outer Regional Australia","17-25","Yes","Stage 3","0","1","0","0","0","0","0","Not applicable",4,3,0,1
2023,"01","NSW","Outer Regional Australia","17-25","Yes","Stage 3","1","0","0","0","0","0","0","Not applicable",2,0,0,2
2023,"01","NSW","Outer Regional Australia","17-25","Yes","Stage 3","1","0","1","1","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Outer Regional Australia","17-25","Yes","Stage 3","1","1","0","0","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Outer Regional Australia","26-39","No","Stage 1","0","0","1","0","0","0","0","Not applicable",2,2,0,0
2023,"01","NSW","Outer Regional Australia","26-39","No","Stage 1","0","1","0","0","0","0","0","Not applicable",7,3,0,4
2023,"01","NSW","Outer Regional Australia","26-39","No","Stage 1","1","0","0","0","0","0","0","Not applicable",11,4,0,7
2023,"01","NSW","Outer Regional Australia","26-39","No","Stage 2","0","0","0","0","0","0","0","Not applicable",4,1,0,3
2023,"01","NSW","Outer Regional Australia","26-39","No","Stage 2","0","0","1","0","0","0","0","Not applicable",1,1,0,0
2023,"01","NSW","Outer Regional Australia","26-39","No","Stage 2","0","1","0","0","0","0","0","Not applicable",4,2,0,2
2023,"01","NSW","Outer Regional Australia","26-39","No","Stage 2","1","0","0","0","0","0","0","Not applicable",7,4,0,3
2023,"01","NSW","Outer Regional Australia","26-39","No","Stage 2","1","0","1","0","0","0","0","Not applicable",1,1,0,0
2023,"01","NSW","Outer Regional Australia","26-39","No","Stage 2","1","1","0","0","0","0","0","Not applicable",3,0,0,3
2023,"01","NSW","Outer Regional Australia","26-39","Yes","Stage 3","0","0","1","0","0","0","0","Not applicable",1,1,0,0
2023,"01","NSW","Outer Regional Australia","26-39","Yes","Stage 3","0","1","0","0","0","0","0","Not applicable",5,2,0,3
2023,"01","NSW","Outer Regional Australia","26-39","Yes","Stage 3","0","1","1","0","0","0","0","Not applicable",1,1,0,0
2023,"01","NSW","Outer Regional Australia","26-39","Yes","Stage 3","1","0","0","0","0","0","0","Not applicable",9,4,0,5
2023,"01","NSW","Outer Regional Australia","26-39","Yes","Stage 3","1","0","1","0","0","0","0","Not applicable",1,1,0,0
2023,"01","NSW","Outer Regional Australia","26-39","Yes","Stage 3","1","1","0","0","0","0","0","Not applicable",3,0,0,3
2023,"01","NSW","Outer Regional Australia","40-64","No","Stage 1","0","0","1","0","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Outer Regional Australia","40-64","No","Stage 1","0","1","0","0","0","0","0","Not applicable",13,3,0,10
2023,"01","NSW","Outer Regional Australia","40-64","No","Stage 1","1","0","0","0","0","0","0","Not applicable",11,2,0,9
2023,"01","NSW","Outer Regional Australia","40-64","No","Stage 1","1","1","0","0","0","0","0","Not applicable",3,1,0,2
2023,"01","NSW","Outer Regional Australia","40-64","No","Stage 2","0","0","0","0","0","0","0","Not applicable",3,0,0,3
2023,"01","NSW","Outer Regional Australia","40-64","No","Stage 2","0","1","0","0","0","0","0","Not applicable",7,2,0,5
2023,"01","NSW","Outer Regional Australia","40-64","No","Stage 2","1","0","0","0","0","0","0","Not applicable",10,2,0,8
2023,"01","NSW","Outer Regional Australia","40-64","No","Stage 2","1","1","0","0","0","0","0","Not applicable",8,2,0,6
2023,"01","NSW","Outer Regional Australia","40-64","Yes","Stage 3","0","0","0","0","0","0","1","Not applicable",2,1,0,1
